"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-01","0.0","0.0","30.0","-2.6","-2.1","-4.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-02","0.0","0.0","30.0","-3.6","-0.5","-4.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-03","0.0","0.0","30.0","-0.1","1.1","-2.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-04","0.0","0.0","0.0","-2.9","-0.5","-6.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-05","0.0","0.0","0.0","-3.0","1.7","-7.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-06","2.3","58.0","30.0","-0.8","1.1","-1.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-07","0.0","0.0","50.0","-0.6","0.6","-1.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-08","0.0","0.0","50.0","-1.4","0.6","-3.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-09","11.7","145.0","50.0","0.1","0.6","-1.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-10","1.5","28.0","150.0","-0.9","0.0","-3.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-11","3.0","30.0","180.0","-2.8","-0.5","-4.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-12","13.5","218.0","180.0","-1.9","0.0","-3.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-13","2.8","48.0","300.0","-4.6","-3.2","-17.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-14","0.0","3.0","300.0","-18.4","-17.7","-22.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-15","0.0","0.0","280.0","-20.1","-16.0","-23.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-16","0.0","0.0","250.0","-20.1","-16.6","-22.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-17","0.0","0.0","250.0","-15.9","-10.5","-18.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-18","1.0","15.0","250.0","-13.0","-10.5","-18.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-19","0.3","5.0","250.0","-14.0","-12.7","-17.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-20","0.0","0.0","250.0","-14.8","-9.9","-18.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-21","0.0","0.0","250.0","-14.8","-6.6","-19.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-22","0.0","0.0","250.0","-4.8","0.0","-6.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-23","5.1","28.0","250.0","-0.4","0.6","-1.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-24","0.0","0.0","280.0","0.6","2.2","0.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-25","1.3","0.0","230.0","0.8","2.2","0.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-26","7.9","0.0","180.0","1.3","2.2","0.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-27","0.0","0.0","130.0","1.6","3.3","0.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-28","0.0","0.0","130.0","0.9","1.7","-1.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-29","0.0","0.0","100.0","-0.5","2.8","-2.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-30","0.3","0.0","80.0","2.3","4.4","1.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-01-31","0.0","0.0","80.0","1.9","4.4","0.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-01","0.0","0.0","50.0","2.5","6.7","-3.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-02","0.0","0.0","30.0","-0.1","1.7","-3.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-03","0.0","0.0","30.0","1.4","6.7","-2.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-04","0.0","0.0","0.0","-0.6","5.6","-4.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-05","0.0","0.0","0.0","-3.0","1.1","-6.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-06","0.0","0.0","0.0","-2.3","5.0","-6.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-07","0.0","0.0","0.0","1.2","6.1","-1.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-08","1.8","0.0","0.0","6.5","12.8","2.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-09","0.0","0.0","0.0","5.3","5.0","1.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-10","0.0","0.0","0.0","1.2","4.4","-3.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-11","0.0","0.0","0.0","-1.2","2.2","-6.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-12","0.0","0.0","0.0","-0.2","8.3","-6.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-13","0.0","0.0","0.0","-0.2","3.9","-4.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-14","0.0","0.0","0.0","-0.2","7.8","-6.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-15","13.7","41.0","50.0","1.6","3.9","-4.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-16","0.0","0.0","30.0","-3.5","-1.6","-11.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-17","0.0","0.0","0.0","-8.6","-1.0","-12.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-18","0.0","0.0","0.0","-1.4","6.1","-5.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-19","0.0","0.0","0.0","-1.7","7.2","-8.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-20","0.0","0.0","0.0","2.2","12.8","-5.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-21","0.0","0.0","0.0","8.3","15.6","3.3"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-22","0.0","0.0","0.0","6.3","15.0","-2.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-23","0.8","20.0","0.0","3.9","5.6","-7.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-24","0.0","0.0","0.0","-6.4","0.6","-12.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-25","0.0","0.0","0.0","3.7","13.9","-1.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-26","0.0","0.0","0.0","5.7","19.4","-3.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-27","0.3","0.0","0.0","13.9","21.1","1.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-28","0.0","0.0","0.0","-1.9","1.1","-11.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-02-29","0.0","0.0","0.0","-4.6","7.2","-11.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-03-01","0.0","0.0","0.0","4.0","8.9","-1.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-03-02","0.0","0.0","0.0","5.7","15.6","-1.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-03-03","0.0","0.0","0.0","11.6","22.8","6.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-03-04","16.5","0.0","0.0","10.7","13.9","0.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2024-03-05","0.3","0.0","0.0","5.4","9.4","-0.5"
