Lake,Date_Sampled,Results,,,,,,,,,,,,,,
Kegonsa,1975-01-01,22.5,,,,,,,,,,,,,,
Kegonsa,1975-02-01,27.5,,,,,,,,,,,,,,
Kegonsa,1975-03-01,22.5,,,,,,,,,,,,,,
Kegonsa,1975-04-01,20.2,,,,,,,,,,,,,,
Kegonsa,1975-05-01,19.2,,,,,,,,,,,,,,
Kegonsa,1975-06-01,19.0,,,,,,,,,,,,,,
Kegonsa,1975-07-01,20.0,,,,,,,,,,,,,,
Kegonsa,1975-08-01,20.5,,,,,,,,,,,,,,
Kegonsa,1975-09-01,21.5,,,,,,,,,,,,,,
Kegonsa,1975-10-01,21.0,,,,,,,,,,,,,,
Kegonsa,1975-11-01,21.3,,,,,,,,,,,,,,
Kegonsa,1975-12-01,21.3,,,,,,,,,,,,,,
Kegonsa,1976-01-01,21.5,,,,,,,,,,,,,,
Kegonsa,1976-02-01,23.5,,,,,,,,,,,,,,
Kegonsa,1976-03-01,30.0,,,,,,,,,,,,,,
Kegonsa,1976-04-01,21.0,,,,,,,,,,,,,,
Kegonsa,1976-05-01,19.0,,,,,,,,,,,,,,
Kegonsa,1976-06-01,21.5,,,,,,,,,,,,,,
Kegonsa,1976-07-01,22.0,,,,,,,,,,,,,,
Kegonsa,1976-08-01,22.0,,,,,,,,,,,,,,
Kegonsa,1976-09-01,22.0,,,,,,,,,,,,,,
Kegonsa,1976-10-01,23.0,,,,,,,,,,,,,,
Kegonsa,1976-11-01,22.0,,,,,,,,,,,,,,
Kegonsa,1976-12-01,25.5,,,,,,,,,,,,,,
Kegonsa,1977-01-01,25.0,,,,,,,,,,,,,,
Kegonsa,1977-02-01,27.0,,,,,,,,,,,,,,
Kegonsa,1977-03-01,24.0,,,,,,,,,,,,,,
Kegonsa,1977-04-01,23.0,,,,,,,,,,,,,,
Kegonsa,1977-05-01,22.0,,,,,,,,,,,,,,
Kegonsa,1977-06-01,22.0,,,,,,,,,,,,,,
Kegonsa,1977-07-01,20.5,,,,,,,,,,,,,,
Kegonsa,1977-08-01,16.5,,,,,,,,,,,,,,
Kegonsa,1977-09-01,22.0,,,,,,,,,,,,,,
Kegonsa,1977-10-01,22.0,,,,,,,,,,,,,,
Kegonsa,1977-11-01,22.0,,,,,,,,,,,,,,
Kegonsa,1977-12-01,25.0,,,,,,,,,,,,,,
Kegonsa,1978-01-01,25.0,,,,,,,,,,,,,,
Kegonsa,1978-02-01,26.0,,,,,,,,,,,,,,
Kegonsa,1978-03-01,29.0,,,,,,,,,,,,,,
Kegonsa,1978-04-01,22.0,,,,,,,,,,,,,,
Kegonsa,1978-05-01,21.0,,,,,,,,,,,,,,
Kegonsa,1978-06-01,21.0,,,,,,,,,,,,,,
Kegonsa,1978-07-01,19.0,,,,,,,,,,,,,,
Kegonsa,1978-08-01,19.0,,,,,,,,,,,,,,
Kegonsa,1978-09-01,18.0,,,,,,,,,,,,,,
Kegonsa,1978-10-01,32.0,,,,,,,,,,,,,,
