Date,Lake,Chloride.mgL
11/1/1970,Kegonsa,20
5/1/1972,Kegonsa,22
10/1/1972,Kegonsa,23
4/1/1973,Kegonsa,23
10/1/1973,Kegonsa,24
4/1/1974,Kegonsa,20
6/1/1974,Kegonsa,20
9/1/1974,Kegonsa,21
10/1/1974,Kegonsa,21
12/1/1974,Kegonsa,22
1/1/1975,Kegonsa,22.5
2/1/1975,Kegonsa,27.5
3/1/1975,Kegonsa,22.5
4/1/1975,Kegonsa,20.2
5/1/1975,Kegonsa,19.2
6/1/1975,Kegonsa,19
7/1/1975,Kegonsa,20
8/1/1975,Kegonsa,20.5
9/1/1975,Kegonsa,21.5
10/1/1975,Kegonsa,21.5
11/1/1975,Kegonsa,21.5
12/1/1975,Kegonsa,21.5
1/1/1976,Kegonsa,21.5
2/1/1976,Kegonsa,23.5
3/1/1976,Kegonsa,30
4/1/1976,Kegonsa,21
5/1/1976,Kegonsa,19
6/1/1976,Kegonsa,21.5
7/1/1976,Kegonsa,22
8/1/1976,Kegonsa,22
9/1/1976,Kegonsa,22
10/1/1976,Kegonsa,23
11/1/1976,Kegonsa,22
12/1/1976,Kegonsa,26
1/1/1977,Kegonsa,25
2/1/1977,Kegonsa,27
3/1/1977,Kegonsa,24
4/1/1977,Kegonsa,23
5/1/1977,Kegonsa,22
6/1/1977,Kegonsa,22
7/1/1977,Kegonsa,21
8/1/1977,Kegonsa,17
9/1/1977,Kegonsa,22
10/1/1977,Kegonsa,22
11/1/1977,Kegonsa,22
12/1/1977,Kegonsa,25
1/1/1978,Kegonsa,25
2/1/1978,Kegonsa,26
3/1/1978,Kegonsa,29
4/1/1978,Kegonsa,22
5/1/1978,Kegonsa,21
6/1/1978,Kegonsa,21
7/1/1978,Kegonsa,19
8/1/1978,Kegonsa,19
9/1/1978,Kegonsa,18
10/1/1978,Kegonsa,32
11/1/1978,Kegonsa,22
12/1/1978,Kegonsa,21
1/1/1979,Kegonsa,23
2/1/1979,Kegonsa,23
3/1/1979,Kegonsa,24
4/1/1979,Kegonsa,19
5/1/1979,Kegonsa,20
6/1/1979,Kegonsa,22
7/1/1979,Kegonsa,21
8/1/1979,Kegonsa,23
9/1/1979,Kegonsa,23
10/1/1979,Kegonsa,23
11/1/1979,Kegonsa,23
12/1/1979,Kegonsa,23
1/1/1980,Kegonsa,24
2/1/1980,Kegonsa,27
3/1/1980,Kegonsa,26
4/1/1980,Kegonsa,27
5/1/1980,Kegonsa,27
6/1/1980,Kegonsa,24
7/1/1980,Kegonsa,24
8/1/1980,Kegonsa,21
9/1/1980,Kegonsa,23
10/1/1980,Kegonsa,24
12/1/1980,Kegonsa,25
1/1/1981,Kegonsa,27
2/1/1981,Kegonsa,27
3/1/1981,Kegonsa,24
4/1/1981,Kegonsa,25
5/1/1981,Kegonsa,23
6/1/1981,Kegonsa,26
7/1/1981,Kegonsa,25
8/1/1981,Kegonsa,25
11/1/1981,Kegonsa,24
12/1/1981,Kegonsa,24
1/1/1982,Kegonsa,25
2/1/1982,Kegonsa,27
3/1/1982,Kegonsa,27
4/1/1982,Kegonsa,24
5/1/1982,Kegonsa,25
6/1/1982,Kegonsa,23
7/1/1982,Kegonsa,25
8/1/1982,Kegonsa,25
10/1/1982,Kegonsa,26
11/1/1982,Kegonsa,25
12/1/1982,Kegonsa,23
1/1/1983,Kegonsa,25
2/1/1983,Kegonsa,25
3/1/1983,Kegonsa,25
4/1/1983,Kegonsa,22
5/1/1983,Kegonsa,26
6/1/1983,Kegonsa,23
7/1/1983,Kegonsa,24
8/1/1983,Kegonsa,26
9/1/1983,Kegonsa,25
10/1/1983,Kegonsa,27
