index,et_ensemble_mad,time_start,Date
16t_20180101_20180131,7.759882046,1514764800000.00,2018/01/01
16t_20180201_20180228,12.58591972,1517443200000.00,2018/02/01
16t_20180301_20180331,35.73081905,1519862400000.00,2018/03/01
16t_20180401_20180430,42.09224808,1522540800000.00,2018/04/01
16t_20180501_20180531,88.10036576,1525132800000.00,2018/05/01
16t_20180601_20180630,109.1822646,1527811200000.00,2018/06/01
16t_20180701_20180731,121.1029633,1530403200000.00,2018/07/01
16t_20180801_20180831,101.9560076,1533081600000.00,2018/08/01
16t_20180901_20180930,59.66874805,1535760000000.00,2018/09/01
16t_20181001_20181031,26.53449728,1538352000000.00,2018/10/01
16t_20181101_20181130,7.271565063,1541030400000.00,2018/11/01
16t_20181201_20181231,6.791061253,1543622400000.00,2018/12/01
16t_20190101_20190131,2.950955367,1546300800000.00,2019/01/01
16t_20190201_20190228,3.679445162,1548979200000.00,2019/02/01
16t_20190301_20190331,30.20573886,1551398400000.00,2019/03/01
16t_20190401_20190430,42.47064043,1554076800000.00,2019/04/01
16t_20190501_20190531,65.39711625,1556668800000.00,2019/05/01
16t_20190601_20190630,92.77711232,1559347200000.00,2019/06/01
16t_20190701_20190731,115.2164564,1561939200000.00,2019/07/01
16t_20190801_20190831,92.23156738,1564617600000.00,2019/08/01
16t_20190901_20190930,58.14730909,1567296000000.00,2019/09/01
16t_20191001_20191031,33.31194272,1569888000000.00,2019/10/01
16t_20191101_20191130,11.66272444,1572566400000.00,2019/11/01
16t_20191201_20191231,7.783211111,1575158400000.00,2019/12/01
16t_20200101_20200131,5.819878543,1577836800000.00,2020/01/01
16t_20200201_20200229,9.883004582,1580515200000.00,2020/02/01
16t_20200301_20200331,20.55645246,1583020800000.00,2020/03/01
16t_20200401_20200430,52.79057082,1585699200000.00,2020/04/01
16t_20200501_20200531,76.76647266,1588291200000.00,2020/05/01
16t_20200601_20200630,118.2396939,1590969600000.00,2020/06/01
16t_20200701_20200731,125.3042451,1593561600000.00,2020/07/01
16t_20200801_20200831,100.0817283,1596240000000.00,2020/08/01
16t_20200901_20200930,56.97840764,1598918400000.00,2020/09/01
16t_20201001_20201031,32.4082886,1601510400000.00,2020/10/01
16t_20201101_20201130,15.79176832,1604188800000.00,2020/11/01
16t_20201201_20201231,2.800493193,1606780800000.00,2020/12/01
16t_20210101_20210131,0.76487547,1609459200000.00,2021/01/01
16t_20210201_20210228,8.293082134,1612137600000.00,2021/02/01
16t_20210301_20210331,31.10891602,1614556800000.00,2021/03/01
16t_20210401_20210430,57.1421568,1617235200000.00,2021/04/01
16t_20210501_20210531,91.43148574,1619827200000.00,2021/05/01
16t_20210601_20210630,117.3002667,1622505600000.00,2021/06/01
16t_20210701_20210731,123.640881,1625097600000.00,2021/07/01
16t_20210801_20210831,108.421756,1627776000000.00,2021/08/01
16t_20210901_20210930,76.26638062,1630454400000.00,2021/09/01
16t_20211001_20211031,34.15185365,1633046400000.00,2021/10/01
16t_20211101_20211130,16.73989501,1635724800000.00,2021/11/01
16t_20211201_20211231,5.58257355,1638316800000.00,2021/12/01
16t_20220101_20220131,1.487266844,1640995200000.00,2022/01/01
16t_20220201_20220228,8.490224089,1643673600000.00,2022/02/01
16t_20220301_20220331,22.54156187,1646092800000.00,2022/03/01
16t_20220401_20220430,35.8150519,1648771200000.00,2022/04/01
16t_20220501_20220531,80.02039895,1651363200000.00,2022/05/01
16t_20220601_20220630,118.6479391,1654041600000.00,2022/06/01
16t_20220701_20220731,121.0593921,1656633600000.00,2022/07/01
16t_20220801_20220831,97.31600298,1659312000000.00,2022/08/01
16t_20220901_20220930,69.57057649,1661990400000.00,2022/09/01
16t_20221001_20221031,40.52302845,1664582400000.00,2022/10/01
16t_20221101_20221130,14.57408238,1667260800000.00,2022/11/01
16t_20221201_20221231,6.215967337,1669852800000.00,2022/12/01
16t_20230101_20230131,0.335455126,1672531200000.00,2023/01/01
16t_20230201_20230228,15.24521387,1675209600000.00,2023/02/01
16t_20230301_20230331,26.41009045,1677628800000.00,2023/03/01
16t_20230401_20230430,51.0615851,1680307200000.00,2023/04/01
16t_20230501_20230531,95.2113703,1682899200000.00,2023/05/01
16t_20230601_20230630,119.7912474,1685577600000.00,2023/06/01
16t_20230701_20230731,126.8787213,1688169600000.00,2023/07/01
16t_20230801_20230831,119.6032992,1690848000000.00,2023/08/01
16t_20230901_20230930,68.49527892,1693526400000.00,2023/09/01
16t_20231001_20231031,36.8465147,1696118400000.00,2023/10/01
16t_20231101_20231130,17.35489107,1698796800000.00,2023/11/01
16t_20231201_20231231,7.196016364,1701388800000.00,2023/12/01
