"lakeid","station","year4","sampledate","depth","na","cl","so4","comments"
"ME",,1940,,,,3,,"annual average collected by Richard C. Lathrop"
"ME",,1941,,,,4,,"annual average collected by Richard C. Lathrop"
"ME",,1942,,,,2,,"annual average collected by Richard C. Lathrop"
"ME",,1943,,,,3,,"annual average collected by Richard C. Lathrop"
"ME",,1944,,,,3,,"annual average collected by Richard C. Lathrop"
"ME",,1945,,,,3,,"annual average collected by Richard C. Lathrop"
"ME",,1946,,,,3,,"annual average collected by Richard C. Lathrop"
"ME",,1947,,,,3,,"annual average collected by Richard C. Lathrop"
"ME",,1948,,,,4,,"annual average collected by Richard C. Lathrop"
"ME",,1949,,,,5,,"annual average collected by Richard C. Lathrop"
"ME",,1957,,,,6,,"annual average collected by Richard C. Lathrop"
"ME",,1958,,,,6,,"annual average collected by Richard C. Lathrop"
"ME",,1962,,,,6,,"annual average collected by Richard C. Lathrop"
"ME",,1963,,,,6,,"annual average collected by Richard C. Lathrop"
"ME",,1964,,,,7,,"annual average collected by Richard C. Lathrop"
"ME",,1965,,,,8,,"annual average collected by Richard C. Lathrop"
"ME",,1966,,,,8,,"annual average collected by Richard C. Lathrop"
"ME",,1967,,,,9,,"annual average collected by Richard C. Lathrop"
"ME",,1968,,,,9,,"annual average collected by Richard C. Lathrop"
"ME",,1969,,,,10,,"annual average collected by Richard C. Lathrop"
"ME",,1970,,,,11,,"annual average collected by Richard C. Lathrop"
"ME",,1971,,,,13,,"annual average collected by Richard C. Lathrop"
"ME",,1972,,,,13,,"annual average collected by Richard C. Lathrop"
"ME",,1973,,,,14,,"annual average collected by Richard C. Lathrop"
"ME",,1974,,,,15,,"annual average collected by Richard C. Lathrop"
"ME",,1975,,,,16,,"annual average collected by Richard C. Lathrop"
"ME",,1976,,,,15,,"annual average collected by Richard C. Lathrop"
"ME",,1977,,,,18,,"annual average collected by Richard C. Lathrop"
"ME",,1978,,,,17,,"annual average collected by Richard C. Lathrop"
"ME",,1979,,,,17,,"annual average collected by Richard C. Lathrop"
"ME",,1980,,,,18,,"annual average collected by Richard C. Lathrop"
"ME",,1982,,,,20,,"annual average collected by Richard C. Lathrop"
"ME",,1983,,,,20,,"annual average collected by Richard C. Lathrop"
"ME",,1984,,,,21,,"annual average collected by Richard C. Lathrop"
"ME",,1985,,,,22,,"annual average collected by Richard C. Lathrop"
"ME",,1986,,,,22,,"annual average collected by Richard C. Lathrop"
"ME",,1987,,,,23,,"annual average collected by Richard C. Lathrop"
"ME","WIDNR_WQX-10001207",1988,"1988-08-01",0,11,26,22,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1988,"1988-10-12",0,11,26,23.3,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1989,"1989-01-23",1,12,27,22.9,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1989,"1989-04-24",0,12,27,22.7,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1989,"1989-07-17",,12,27,22.4,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1989,"1989-07-17",,12,27,22.7,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1989,"1989-07-17",,12,27,22.4,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1989,"1989-07-17",,12,27,22.7,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1989,"1989-10-08",4,12,27,22.6,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1989,"1989-10-08",0,12,27,22.6,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1990,"1990-01-23",1,13,27,21.7,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1990,"1990-04-23",0,13,28,,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1990,"1990-05-21",0,13,28,23.5,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1990,"1990-07-16",0,12,28,22,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1991,"1991-01-29",1,13,30,24,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1991,"1991-04-22",0,13,28,24,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1991,"1991-07-15",0,13,30,22,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1991,"1991-10-07",0,14,30,22,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1992,"1992-01-21",0,13,30,23,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1992,"1992-07-21",0,14,31,21,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1993,"1993-01-25",1,,32,23,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1993,"1993-04-22",0,,34,20,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1993,"1993-07-19",0,,32,19,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1993,"1993-10-25",0,,31,20,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1994,"1994-01-24",1,,33.5,21,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1994,"1994-04-11",0,,31.6,,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1994,"1994-08-01",100,,32.1,20,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1994,"1994-10-27",0,,32.9,18,"Wisconsin Department of Natural Resources"
"ME","WIDNR_WQX-10001207",1995,"1995-01-24",1,,33.3,,"Wisconsin Department of Natural Resources"
