Date,Lake,Chloride.mgL
1970-11-01,Kegonsa,20
1972-05-01,Kegonsa,22
1972-10-01,Kegonsa,23
1973-04-01,Kegonsa,23
1973-10-01,Kegonsa,24
1974-04-01,Kegonsa,20
1974-06-01,Kegonsa,20
1974-09-01,Kegonsa,21
1974-10-01,Kegonsa,21
1974-12-01,Kegonsa,22
1975-01-01,Kegonsa,22.5
1975-02-01,Kegonsa,27.5
1975-03-01,Kegonsa,22.5
1975-04-01,Kegonsa,20.2
1975-05-01,Kegonsa,19.2
1975-06-01,Kegonsa,19
1975-07-01,Kegonsa,20
1975-08-01,Kegonsa,20.5
1975-09-01,Kegonsa,21.5
1975-10-01,Kegonsa,21.5
1975-11-01,Kegonsa,21.5
1975-12-01,Kegonsa,21.5
1976-01-01,Kegonsa,21.5
1976-02-01,Kegonsa,23.5
1976-03-01,Kegonsa,30
1976-04-01,Kegonsa,21
1976-05-01,Kegonsa,19
1976-06-01,Kegonsa,21.5
1976-07-01,Kegonsa,22
1976-08-01,Kegonsa,22
1976-09-01,Kegonsa,22
1976-10-01,Kegonsa,23
1976-11-01,Kegonsa,22
1976-12-01,Kegonsa,26
1977-01-01,Kegonsa,25
1977-02-01,Kegonsa,27
1977-03-01,Kegonsa,24
1977-04-01,Kegonsa,23
1977-05-01,Kegonsa,22
1977-06-01,Kegonsa,22
1977-07-01,Kegonsa,21
1977-08-01,Kegonsa,17
1977-09-01,Kegonsa,22
1977-10-01,Kegonsa,22
1977-11-01,Kegonsa,22
1977-12-01,Kegonsa,25
1978-01-01,Kegonsa,25
1978-02-01,Kegonsa,26
1978-03-01,Kegonsa,29
1978-04-01,Kegonsa,22
1978-05-01,Kegonsa,21
1978-06-01,Kegonsa,21
1978-07-01,Kegonsa,19
1978-08-01,Kegonsa,19
1978-09-01,Kegonsa,18
1978-10-01,Kegonsa,32
1978-11-01,Kegonsa,22
1978-12-01,Kegonsa,21
1979-01-01,Kegonsa,23
1979-02-01,Kegonsa,23
1979-03-01,Kegonsa,24
1979-04-01,Kegonsa,19
1979-05-01,Kegonsa,20
1979-06-01,Kegonsa,22
1979-07-01,Kegonsa,21
1979-08-01,Kegonsa,23
1979-09-01,Kegonsa,23
1979-10-01,Kegonsa,23
1979-11-01,Kegonsa,23
1979-12-01,Kegonsa,23
1980-01-01,Kegonsa,24
1980-02-01,Kegonsa,27
1980-03-01,Kegonsa,26
1980-04-01,Kegonsa,27
1980-05-01,Kegonsa,27
1980-06-01,Kegonsa,24
1980-07-01,Kegonsa,24
1980-08-01,Kegonsa,21
1980-09-01,Kegonsa,23
1980-10-01,Kegonsa,24
1980-12-01,Kegonsa,25
1981-01-01,Kegonsa,27
1981-02-01,Kegonsa,27
1981-03-01,Kegonsa,24
1981-04-01,Kegonsa,25
1981-05-01,Kegonsa,23
1981-06-01,Kegonsa,26
1981-07-01,Kegonsa,25
1981-08-01,Kegonsa,25
1981-11-01,Kegonsa,24
1981-12-01,Kegonsa,24
1982-01-01,Kegonsa,25
1982-02-01,Kegonsa,27
1982-03-01,Kegonsa,27
1982-04-01,Kegonsa,24
1982-05-01,Kegonsa,25
1982-06-01,Kegonsa,23
1982-07-01,Kegonsa,25
1982-08-01,Kegonsa,25
1982-10-01,Kegonsa,26
1982-11-01,Kegonsa,25
1982-12-01,Kegonsa,23
1983-01-01,Kegonsa,25
1983-02-01,Kegonsa,25
1983-03-01,Kegonsa,25
1983-04-01,Kegonsa,22
1983-05-01,Kegonsa,26
1983-06-01,Kegonsa,23
1983-07-01,Kegonsa,24
1983-08-01,Kegonsa,26
1983-09-01,Kegonsa,25
1983-10-01,Kegonsa,27
1983-11-01,Kegonsa,27
1983-12-01,Kegonsa,26
1984-01-01,Kegonsa,29
1984-02-01,Kegonsa,28.5
1984-03-01,Kegonsa,27
1984-04-01,Kegonsa,24
1984-05-01,Kegonsa,19.2
1984-06-01,Kegonsa,25.2
1984-07-01,Kegonsa,25
1984-08-01,Kegonsa,24.5
1984-09-01,Kegonsa,25
1984-10-01,Kegonsa,27
1984-11-01,Kegonsa,23
1984-12-01,Kegonsa,26
1985-01-01,Kegonsa,30
